id,keywords,year,_title,_creation,_artist,_collection,_sitelinks
Q3027255,"Carthage, Dido",1810,Dido building Carthage,1815,J. M. W. Turner,National Gallery,13
Q3135789,"Anna Ancher, Christian Krohg, Degn Brøndum, Helene Christensen, Helga Ancher, Martha Johansen, Michael Peter Ancher, Oscar Björck, Peder Severin Krøyer, Thorvald Niss, Viggo Johansen, bench, bottle, celebration, chair, cup, garden, party, table, tablecloth, toast",1880,"Hip, Hip, Hurrah!",1888,Peder Severin Krøyer,Gothenburg Museum of Art,13
Q3202169,"Aeschylus, Aesop, Alcibiades, Alexander the Great, Apelles, Aristarchus of Samothrace, Aristotle, Cassius Longinus, Christoph Willibald von Gluck, Dante Alighieri, Demosthenes, Euripides, François Fénelon, Herodotus, Hesiod, Homer, Horace, Iliad, Jean Racine, Linus, Luís de Camões, Lycurgus of Athens, Menander, Michelangelo, Molière, Nicolas Boileau-Despréaux, Nicolas Poussin, Odyssey, Orpheus, Peisistratos, Pericles, Phidias, Pierre Corneille, Pindar, Plato, Raphael, Sappho, Socrates, Sophocles, Torquato Tasso, Virgil, William Shakespeare, apotheosis, clothing, clothing in the ancient world, laurel wreath, moustache, painter, temple",1820,The Apotheosis of Homer,1827,Jean-Auguste-Dominique Ingres,Department of Paintings of the Louvre,13
Q1220030,"barefoot, cloud, dress, elder sister, sibling group, waist-length hair, younger brother",1860,The Elder Sister,1869,William-Adolphe Bouguereau,"Museum of Fine Arts, Houston",13
Q3207251,"E O Calvo A Tropa Do Calvo, Moon, bird, landscape, reed, snake, watercourse, woman",1900,La encantadora de serpientes,1907,Henri Rousseau,Musée d'Orsay,13
Q3432673,"barefoot, bed, chestnut hair, female breast, gaze towards the viewer, headband, hip, malleolus, naked girl, navel, pillow, puberty, shadow, toe, waist, waist-length hair",1890,Puberty,1895,Edvard Munch,"National Museum of Art, Architecture and Design",13
Q3829347,"Leda, swan, woman",1530,Leda and the Swan,1530,Michelangelo,Francis I of France,13
Q3454959,"Argenteuil, Seine, boating, landscape, regatta, sailing ship",1870,Régates à Argenteuil,1872,Claude Monet,Musée d'Orsay,13
Q3531531,"Christ Child, Mary, adoration, biblical Magi, boy, woman",1430,Adoration of the Magi,1430,Fra Angelico,National Gallery of Art,13
Q3553389,"chaperon, man, parapet, ring",1430,Portrait of a Man with a Blue Chaperon,1435,Jan van Eyck,Brukenthal National Museum,13
Q3590926,"Antiochus I Soter, Erasistratus, Seleucus I Nicator, disease, love, physician",1770,Erasistratus Discovering the Cause of Antiochus' Disease,1774,Jacques-Louis David,Beaux-Arts de Paris,13
Q3605563,"Christ Child, Joseph, Mary, boy, shepherd, woman",1500,Adoration of the Shepherds,1505-1510,Giorgione,National Gallery of Art,13
Q3700536,"hat, woman",1770,Portrait of a Lady in Blue,1775-1785,Thomas Gainsborough,Hermitage Museum,13
Q3701418,"Danaë, bed, cushion, lying, navel, nudity, red hair, shower of gold, waist-length hair, woman",1610,Danaë,1612,Artemisia Gentileschi,Saint Louis Art Museum,13
Q3743879,"hand mirror, sculpture",1510,The Worship of Venus,1518-1519,Titian,Museo del Prado,13
Q3777363,"boy, chestnut hair, cloak, drapery, eyebrow, feather, hat, human skull, rosacea, standing",1620,Portrait of a young man with a skull,1626,Frans Hals,National Gallery,13
Q3829339,"Jupiter, Leda, Zeus, domestic worker, dress, female breast, mating, nude swimming, nudity, pubic hair removal, putto, rural area, shore, sitting, sky, smile, standing, swan, towel, tree, waist-length hair, washing, watercourse, woman, zoophilia",1530,Leda and the Swan,1532,Antonio da Correggio,Gemäldegalerie,13
Q6251405,Elisabeth Cahen d’Anvers,1880,Pink and Blue,1881,Pierre-Auguste Renoir,São Paulo Museum of Art,13
Q3925598,"Apollo, Marsyas",1570,The Flaying of Marsyas,1570-1576,Titian,Kroměříž Archdiocesan Museum,13
